name,brand,size_label,weight_g,price,price_per_oz,report_category,is_bundle
Cherry Punch Buds - MED,,1 g,1.0,4.6,128.79999999999998,Flower,False
Cherry Punch Buds - MED,,1/8 oz,3.5,13.79,110.32,Flower,False
Cherry Punch Buds - MED,,1/4 oz,7.0,25.72,102.88,Flower,False
Cherry Punch Buds - MED,,1/2 oz,14.0,41.36,82.72,Flower,False
Cherry Punch Buds - MED,,1 oz,28.0,72.6,72.6,Flower,False
Tropicana Cherries- Green Pharm- MED,,1 g,1.0,5.51,154.28,Flower,False
Tropicana Cherries- Green Pharm- MED,,1/8 oz,3.5,13.79,110.32,Flower,False
Tropicana Cherries- Green Pharm- MED,,1/4 oz,7.0,22.98,91.92,Flower,False
Tropicana Cherries- Green Pharm- MED,,1/2 oz,14.0,36.76,73.52,Flower,False
Tropicana Cherries- Green Pharm- MED,,1 oz,28.0,63.41,63.41,Flower,False
Fire Crotch- Green Pharm- MED,,1 g,1.0,7.35,205.79999999999998,Flower,False
Fire Crotch- Green Pharm- MED,,1/8 oz,3.5,18.38,147.04,Flower,False
Fire Crotch- Green Pharm- MED,,1/4 oz,7.0,32.17,128.68,Flower,False
Fire Crotch- Green Pharm- MED,,1/2 oz,14.0,55.14,110.28,Flower,False
Fire Crotch- Green Pharm- MED,,1 oz,28.0,91.9,91.9,Flower,False
Ice Cream Cake- Green Pharm- MED,,1 g,1.0,7.35,205.79999999999998,Flower,False
Ice Cream Cake- Green Pharm- MED,,1/8 oz,3.5,18.38,147.04,Flower,False
Ice Cream Cake- Green Pharm- MED,,1/4 oz,7.0,32.17,128.68,Flower,False
Ice Cream Cake- Green Pharm- MED,,1/2 oz,14.0,55.14,110.28,Flower,False
Ice Cream Cake- Green Pharm- MED,,1 oz,28.0,91.9,91.9,Flower,False
Permanent Marker- Green Pharm- MED,,1 g,1.0,7.35,205.79999999999998,Flower,False
Permanent Marker- Green Pharm- MED,,1/8 oz,3.5,18.38,147.04,Flower,False
Permanent Marker- Green Pharm- MED,,1/4 oz,7.0,32.17,128.68,Flower,False
Permanent Marker- Green Pharm- MED,,1/2 oz,14.0,55.14,110.28,Flower,False
Permanent Marker- Green Pharm- MED,,1 oz,28.0,91.9,91.9,Flower,False
Spritzer Buds - MED,,1 g,1.0,7.36,206.08,Flower,False
Spritzer Buds - MED,,1/8 oz,3.5,22.98,183.84,Flower,False
Spritzer Buds - MED,,1/4 oz,7.0,41.36,165.44,Flower,False
Spritzer Buds - MED,,1/2 oz,14.0,73.52,147.04,Flower,False
Spritzer Buds - MED,,1 oz,28.0,128.66,128.66,Flower,False
Apple Mintz Buds - MED,,1 g,1.0,8.27,231.56,Flower,False
Apple Mintz Buds - MED,,1/8 oz,3.5,27.4,219.2,Flower,False
Apple Mintz Buds - MED,,1/4 oz,7.0,41.1,164.4,Flower,False
Apple Mintz Buds - MED,,1/2 oz,14.0,77.61,155.22,Flower,False
Apple Mintz Buds - MED,,1 oz,28.0,136.97,136.97,Flower,False
E85 Buds | MED,,1 g,1.0,8.27,231.56,Flower,False
E85 Buds | MED,,1/8 oz,3.5,27.4,219.2,Flower,False
E85 Buds | MED,,1/4 oz,7.0,41.1,164.4,Flower,False
E85 Buds | MED,,1/2 oz,14.0,77.61,155.22,Flower,False
E85 Buds | MED,,1 oz,28.0,136.97,136.97,Flower,False
Pink Skittles Buds | MED,,1 g,1.0,8.27,231.56,Flower,False
Pink Skittles Buds | MED,,1/8 oz,3.5,27.4,219.2,Flower,False
Pink Skittles Buds | MED,,1/4 oz,7.0,41.1,164.4,Flower,False
Pink Skittles Buds | MED,,1/2 oz,14.0,77.61,155.22,Flower,False
Pink Skittles Buds | MED,,1 oz,28.0,136.97,136.97,Flower,False
Strawberry Rock Candy Buds | MED,,1 g,1.0,8.27,231.56,Flower,False
Strawberry Rock Candy Buds | MED,,1/8 oz,3.5,27.4,219.2,Flower,False
Strawberry Rock Candy Buds | MED,,1/4 oz,7.0,41.1,164.4,Flower,False
Strawberry Rock Candy Buds | MED,,1/2 oz,14.0,77.61,155.22,Flower,False
Strawberry Rock Candy Buds | MED,,1 oz,28.0,136.97,136.97,Flower,False
Violet Fog Buds | MED,,1 g,1.0,8.27,231.56,Flower,False
Violet Fog Buds | MED,,1/8 oz,3.5,27.4,219.2,Flower,False
Violet Fog Buds | MED,,1/4 oz,7.0,41.1,164.4,Flower,False
Violet Fog Buds | MED,,1/2 oz,14.0,77.61,155.22,Flower,False
Violet Fog Buds | MED,,1 oz,28.0,136.97,136.97,Flower,False
Kept Secret- Green Pharm- MED,,1 g,1.0,9.19,257.32,Flower,False
Kept Secret- Green Pharm- MED,,1/8 oz,3.5,22.98,183.84,Flower,False
Kept Secret- Green Pharm- MED,,1/4 oz,7.0,36.76,147.04,Flower,False
Kept Secret- Green Pharm- MED,,1/2 oz,14.0,68.93,137.86,Flower,False
Kept Secret- Green Pharm- MED,,1 oz,28.0,119.47,119.47000000000001,Flower,False
